width,height,max_iter,c_real,c_imag,cpu_ms,opencl_ms,speedup
//Fix iteráció (500) - Felbontás hatása (800 x 600)
800,600,300,-0.7000000000,0.2701500000,875.203125,965.757080,0.906235
800,600,300,-0.7000000000,0.2701500000,416.369141,1003.860840,0.414768
800,600,300,-0.7000000000,0.2701500000,694.971924,1337.523926,0.519596

//Fix felbontás (800 x 600) - Iteráció hatása (1000)
800,600,1000,-0.7000000000,0.2701500000,553.196045,1002.903076,0.551595
800,600,1000,-0.7000000000,0.2701500000,714.732910,1052.267090,0.679231
800,600,1000,-0.7000000000,0.2701500000,506.456055,1329.683105,0.380885
800,600,1000,-0.7000000000,0.2701500000,661.645020,971.418945,0.681112
800,600,1000,-0.7000000000,0.2701500000,660.165039,1122.214111,0.588270
800,600,1000,-0.7000000000,0.2701500000,1050.949951,1073.527100,0.978969
800,600,1000,-0.7000000000,0.2701500000,863.766113,1156.469971,0.746899
800,600,1000,-0.7000000000,0.2701500000,860.092041,1113.394043,0.772496
800,600,1000,-0.7000000000,0.2701500000,474.335938,1196.996094,0.396272
800,600,1000,-0.7000000000,0.2701500000,747.025146,1025.240967,0.728634

//Fix felbontás (1280 x 720) - Iteráció hatása (100)
1280,720,100,-0.7000000000,0.2701500000,447.632080,1299.387939,0.344495
1280,720,100,-0.7000000000,0.2701500000,533.727051,919.484863,0.580463
1280,720,100,-0.7000000000,0.2701500000,409.909912,1330.229980,0.308150
1280,720,100,-0.7000000000,0.2701500000,565.979004,1206.341797,0.469170
1280,720,100,-0.7000000000,0.2701500000,475.854004,1253.864014,0.379510
1280,720,100,-0.7000000000,0.2701500000,449.693115,1271.636963,0.353633
1280,720,100,-0.7000000000,0.2701500000,443.267090,1306.784912,0.339204
1280,720,100,-0.7000000000,0.2701500000,379.979980,1377.815186,0.275784
1280,720,100,-0.7000000000,0.2701500000,425.343018,1154.805908,0.368324
1280,720,100,-0.7000000000,0.2701500000,398.097168,1274.262939,0.312414

//Fix felbontás (1280 x 720) - Iteráció hatása (300)
1280,720,300,-0.7000000000,0.2701500000,1149.069092,1061.371094,1.082627
1280,720,300,-0.7000000000,0.2701500000,650.071045,1351.690918,0.480932
1280,720,300,-0.7000000000,0.2701500000,726.479980,911.719971,0.796824
1280,720,300,-0.7000000000,0.2701500000,1017.313965,1049.366943,0.969455
1280,720,300,-0.7000000000,0.2701500000,997.366943,1019.593018,0.978201
1280,720,300,-0.7000000000,0.2701500000,823.187988,1027.693115,0.801006
1280,720,300,-0.7000000000,0.2701500000,748.927979,1258.829834,0.594940
1280,720,300,-0.7000000000,0.2701500000,1083.227783,971.884033,1.114565
1280,720,300,-0.7000000000,0.2701500000,833.651855,922.029053,0.904149
1280,720,300,-0.7000000000,0.2701500000,628.615967,1050.869141,0.598187

//Fix felbontás (1280 x 720) - Iteráció hatása (1000)
1280,720,1000,-0.7000000000,0.2701500000,1384.227051,935.375977,1.479862
1280,720,1000,-0.7000000000,0.2701500000,1178.785889,845.911133,1.393510
1280,720,1000,-0.7000000000,0.2701500000,1100.741211,1382.411865,0.796247
1280,720,1000,-0.7000000000,0.2701500000,1473.393066,890.138916,1.655239
1280,720,1000,-0.7000000000,0.2701500000,1495.780029,888.749023,1.683017
1280,720,1000,-0.7000000000,0.2701500000,912.312012,978.866943,0.932008
1280,720,1000,-0.7000000000,0.2701500000,1442.718994,845.483887,1.706383
1280,720,1000,-0.7000000000,0.2701500000,1016.305908,1065.437988,0.953886
1280,720,1000,-0.7000000000,0.2701500000,1388.890869,988.587158,1.404925
1280,720,1000,-0.7000000000,0.2701500000,1539.567139,1093.224854,1.408280

//Fix felbontás (1920 x 1080) - Iteráció hatása (100)
1920,1080,100,-0.7000000000,0.2701500000,918.364014,1066.105957,0.861419
1920,1080,100,-0.7000000000,0.2701500000,820.564941,921.654053,0.890318
1920,1080,100,-0.7000000000,0.2701500000,1344.257080,1042.119873,1.289926
1920,1080,100,-0.7000000000,0.2701500000,1153.873047,1059.470947,1.089103
1920,1080,100,-0.7000000000,0.2701500000,967.287109,1016.811035,0.951295
1920,1080,100,-0.7000000000,0.2701500000,1482.033936,1008.209229,1.469967
1920,1080,100,-0.7000000000,0.2701500000,896.142090,812.791016,1.102549
1920,1080,100,-0.7000000000,0.2701500000,887.276855,1060.514160,0.836648
1920,1080,100,-0.7000000000,0.2701500000,1216.228027,1079.927979,1.126212
1920,1080,100,-0.7000000000,0.2701500000,1287.895996,936.345947,1.375449

//Fix felbontás (1920 x 1080) - Iteráció hatása (300)
1920,1080,300,-0.7000000000,0.2701500000,1823.310059,926.595947,1.967751
1920,1080,300,-0.7000000000,0.2701500000,1544.223145,904.265869,1.707709
1920,1080,300,-0.7000000000,0.2701500000,1521.088867,787.372070,1.931855
1920,1080,300,-0.7000000000,0.2701500000,1922.957031,894.748047,2.149160
